id,timestamp,type,amount,currency,receiver,status
TX-000001,2025-11-01T08:12:00Z,BANK_TRANSFER,2500.00,INR,acct-5678,COMPLETED
TX-000002,2025-11-01T09:05:00Z,UPI_PAYMENT,120.00,INR,vpa-user1@bank,COMPLETED
TX-000003,2025-11-01T10:00:00Z,CRYPTO_TRANSFER,0.005,BTC,0xabc123...01,COMPLETED
TX-000004,2025-11-01T10:05:00Z,CRYPTO_TRANSFER,2.3,ETH,0xdeadbeef...02,BLOCKED
TX-000005,2025-11-02T11:20:00Z,BANK_TRANSFER,150000.00,INR,acct-9999,COMPLETED
TX-000006,2025-11-03T14:45:00Z,WALLET_TRANSFER,350.00,USD,wallet-44,COMPLETED
TX-000007,2025-11-03T16:00:00Z,SMART_CONTRACT,0.00,ETH,sc-0x444,COMPLETED
TX-000008,2025-11-04T09:30:00Z,BANK_TRANSFER,5200.00,INR,acct-2345,COMPLETED
TX-000009,2025-11-04T11:10:00Z,FOREX_PAYMENT,4200.00,USD,iban-XY12,COMPLETED
TX-000010,2025-11-05T12:00:00Z,CARD_PAYMENT,250.00,INR,merchant-abc,COMPLETED
TX-000011,2025-11-05T13:30:00Z,UPI_PAYMENT,5000.00,INR,vpa-unverified@bank,BLOCKED
TX-000012,2025-11-06T08:00:00Z,BANK_TRANSFER,30000.00,INR,acct-evil,CRITICAL
TX-000013,2025-11-06T09:00:00Z,CRYPTO_TRANSFER,0.001,BTC,0xsafe01,COMPLETED
TX-000014,2025-11-07T10:15:00Z,BANK_TRANSFER,750.00,INR,acct-2222,COMPLETED
TX-000015,2025-11-08T11:50:00Z,UPI_PAYMENT,60.00,INR,vpa-user2@bank,COMPLETED
TX-000016,2025-11-09T07:25:00Z,FOREX_PAYMENT,12000.00,USD,iban-AB34,COMPLETED
TX-000017,2025-11-09T09:30:00Z,CRYPTO_TRANSFER,5.0,ETH,0xscam000, BLOCKED
TX-000018,2025-11-10T18:00:00Z,STOCK_ORDER,10000.00,USD,buy-AAPL,COMPLETED
TX-000019,2025-11-11T14:10:00Z,BANK_TRANSFER,200.00,SAR,acct-ksa-01,COMPLETED
TX-000020,2025-11-12T21:00:00Z,WALLET_TRANSFER,15.00,USD,friend-wallet,COMPLETED
